사용월,호선명,역ID,지하철역,승차승객수,하차승객수
21.Dec,8호선,533,천호(풍납토성),416377 ,479367 
21.Dec,8호선,534,강동구청,279370 ,289042 
21.Dec,8호선,535,몽촌토성(평화의문),167322 ,170248 
21.Dec,8호선,536,잠실(송파구청),416375 ,489516 
21.Dec,8호선,537,석촌,214039 ,247737 
21.Dec,8호선,538,송파,203481 ,205280 
21.Dec,8호선,539,가락시장,204630 ,226949 
21.Dec,8호선,540,문정,552853 ,577751 
21.Dec,8호선,541,장지,470444 ,454365 
21.Dec,8호선,542,복정,283330 ,243347 
21.Dec,8호선,543,산성,151148 ,151365 
21.Dec,8호선,544,남한산성입구(성남법원.검찰청),371799 ,336879 
21.Dec,8호선,545,단대오거리,283526 ,275106 
21.Dec,8호선,546,신흥,119925 ,129685 
21.Dec,8호선,547,수진,145696 ,132660 
21.Dec,8호선,548,모란,126099 ,100040 
21.Dec,8호선,549,남위례,40542 ,45447 
21.Dec,9호선,618,개화,64288 ,46544 
21.Dec,9호선,619,김포공항,222199 ,351512 
21.Dec,9호선,620,공항시장,81483 ,87938 
21.Dec,9호선,621,신방화,185425 ,179698 
21.Dec,9호선,622,마곡나루(서울식물원),310309 ,307067 
21.Dec,9호선,623,양천향교,253940 ,257284 
21.Dec,9호선,624,가양,544552 ,527052 
21.Dec,9호선,625,증미,191349 ,189709 
21.Dec,9호선,626,등촌,308690 ,302161 
21.Dec,9호선,627,염창,459529 ,443619 
21.Dec,9호선,628,신목동,105320 ,93300 
21.Dec,9호선,629,선유도,223067 ,213963 
21.Dec,9호선,630,당산,483307 ,480722 
21.Dec,9호선,631,국회의사당,402019 ,411808 
21.Dec,9호선,632,여의도,688718 ,655474 
21.Dec,9호선,633,샛강,146272 ,154459 
21.Dec,9호선,634,노량진,709077 ,686230 
21.Dec,9호선,635,노들,119750 ,101825 
21.Dec,9호선,636,흑석(중앙대입구),209524 ,217855 
21.Dec,9호선,637,동작(현충원),49300 ,39473 
21.Dec,9호선,638,구반포,43326 ,44983 
21.Dec,9호선,639,신반포,88018 ,86736 
21.Dec,9호선,640,고속터미널,344745 ,453603 
21.Dec,9호선,641,사평,92848 ,91307 
21.Dec,9호선,642,신논현,869622 ,866056 
21.Dec,공항철도 1호선,656,서울역,227744 ,214119 
21.Dec,공항철도 1호선,657,공덕,60487 ,81505 
21.Dec,공항철도 1호선,658,홍대입구,287882 ,291623 
21.Dec,공항철도 1호선,659,디지털미디어시티,342956 ,314673 
21.Dec,공항철도 1호선,660,마곡나루(서울식물원),202043 ,197196 
21.Dec,공항철도 1호선,661,김포공항,350852 ,196991 
21.Dec,공항철도 1호선,662,계양,269263 ,253525 
21.Dec,공항철도 1호선,663,검암,180004 ,177661 
21.Dec,공항철도 1호선,664,청라국제도시,178158 ,168493 
21.Dec,공항철도 1호선,665,운서,186380 ,186934 
21.Dec,공항철도 1호선,666,공항화물청사,60807 ,65840 
21.Dec,공항철도 1호선,667,인천공항1터미널,111935 ,118450 
21.Dec,공항철도 1호선,668,인천공항2터미널,64720 ,61914 
21.Dec,공항철도 1호선,669,영종,83147 ,83633 
21.Dec,9호선2~3단계,643,언주,281211 ,285968 
21.Dec,9호선2~3단계,644,선정릉,244529 ,268463 
21.Dec,9호선2~3단계,645,삼성중앙,171088 ,180193 
21.Dec,9호선2~3단계,646,봉은사,458067 ,473006 
21.Dec,9호선2~3단계,647,종합운동장,110876 ,107934 
21.Dec,9호선2~3단계,648,삼전,186757 ,180850 
