사용월,호선명,역ID,지하철역,승차승객수,하차승객수
21.Dec,경인선,307,소사,237539 ,211441 
21.Dec,경인선,308,부개,230492 ,216239 
21.Dec,경인선,309,간석,158483 ,151149 
21.Dec,경인선,310,도원,79206 ,79765 
21.Dec,경인선,311,온수(성공회대입구),180194 ,171130 
21.Dec,경인선,312,중동,250148 ,236242 
21.Dec,경인선,313,도화,113562 ,105865 
21.Dec,경원선,128,이촌(국립중앙박물관),97932 ,75924 
21.Dec,경원선,129,서빙고,54247 ,51624 
21.Dec,경원선,130,한남,108349 ,104188 
21.Dec,경원선,131,옥수,1499 ,980 
21.Dec,경원선,132,응봉,49305 ,41962 
21.Dec,경원선,133,왕십리(성동구청),395191 ,441170 
21.Dec,경원선,134,청량리(서울시립대입구),438638 ,451553 
21.Dec,경원선,136,외대앞,203534 ,200824 
21.Dec,경원선,137,신이문,226676 ,210301 
21.Dec,경원선,138,석계,217862 ,245910 
21.Dec,경원선,139,광운대,213269 ,207813 
21.Dec,경원선,140,월계,182395 ,171258 
21.Dec,경원선,141,녹천,123375 ,104416 
21.Dec,경원선,142,창동,8 ,0 
21.Dec,경원선,359,방학,259698 ,253974 
21.Dec,경원선,360,도봉,160942 ,155961 
21.Dec,경원선,361,도봉산,210194 ,138186 
21.Dec,경원선,362,망월사,203481 ,207963 
21.Dec,경원선,363,회룡,332437 ,328632 
21.Dec,경원선,364,의정부,524002 ,539472 
21.Dec,경원선,365,가능,179345 ,172764 
21.Dec,경원선,366,녹양,123168 ,116290 
21.Dec,경원선,367,양주,208767 ,196731 
21.Dec,경원선,368,덕계,82614 ,73933 
21.Dec,경원선,369,덕정,154704 ,149888 
21.Dec,경원선,370,지행,181135 ,180196 
21.Dec,경원선,371,동두천중앙,85554 ,83488 
21.Dec,경원선,372,보산,46250 ,42680 
21.Dec,경원선,373,동두천,57210 ,63788 
21.Dec,경원선,374,소요산,71271 ,60324 
21.Dec,안산선,281,산본,428705 ,448671 
21.Dec,안산선,282,대야미,134348 ,120014 
21.Dec,안산선,283,반월,116965 ,111840 
21.Dec,안산선,284,상록수,428483 ,433567 
21.Dec,안산선,285,한대앞,251138 ,252199 
21.Dec,안산선,286,중앙,490359 ,511506 
21.Dec,안산선,287,고잔,236563 ,225058 
21.Dec,안산선,288,초지,124325 ,129200 
21.Dec,안산선,289,안산,323508 ,298263 
21.Dec,안산선,290,신길온천,47297 ,43926 
21.Dec,안산선,291,정왕,237873 ,246522 
21.Dec,안산선,292,오이도,231310 ,227049 
21.Dec,안산선,293,수리산,113371 ,93528 
21.Dec,과천선,231,선바위,216040 ,189896 
21.Dec,과천선,232,경마공원,102741 ,102466 
21.Dec,과천선,233,대공원,67285 ,70120 
21.Dec,과천선,234,과천,160149 ,148835 
21.Dec,과천선,235,정부과천청사,275060 ,272361 
21.Dec,과천선,236,인덕원,637443 ,659199 
21.Dec,과천선,237,평촌,460685 ,454844 
21.Dec,과천선,238,범계,703103 ,693095 
21.Dec,분당선,143,선릉,336168 ,507580 
21.Dec,분당선,144,한티,376210 ,399414 
21.Dec,분당선,145,도곡,179536 ,177664 
21.Dec,분당선,146,구룡,54931 ,52680 
21.Dec,분당선,147,개포동,99451 ,103234 
21.Dec,분당선,148,대모산입구,117239 ,108832 
21.Dec,분당선,149,수서,374875 ,388458 
21.Dec,분당선,150,복정,16 ,0 
21.Dec,분당선,314,수원,230286 ,197596 
21.Dec,분당선,315,서울숲,278153 ,284001 
21.Dec,분당선,316,압구정로데오,542480 ,601345 
21.Dec,분당선,317,강남구청,266857 ,306247 
21.Dec,분당선,318,선정릉,202027 ,215298 
21.Dec,분당선,319,가천대,214738 ,237560 
21.Dec,분당선,320,태평,374552 ,358851 
21.Dec,분당선,321,모란,566526 ,576334 
21.Dec,분당선,322,야탑,697932 ,727657 
21.Dec,분당선,323,서현,692569 ,699704 
21.Dec,분당선,324,수내,353429 ,350640 
21.Dec,분당선,325,정자,453786 ,481973 
21.Dec,분당선,326,미금,416343 ,440137 
21.Dec,분당선,327,오리,317265 ,262657 
21.Dec,분당선,328,이매,154282 ,146716 
21.Dec,분당선,329,보정,66043 ,58078 
21.Dec,분당선,330,죽전,368303 ,405121 
21.Dec,분당선,331,구성,134255 ,141537 
21.Dec,분당선,332,신갈,122031 ,120085 
21.Dec,분당선,333,기흥,263016 ,248515 
21.Dec,분당선,334,상갈,144286 ,139159 
21.Dec,분당선,335,청명,114505 ,109795 
21.Dec,분당선,336,영통,235628 ,236755 
21.Dec,분당선,337,망포,387902 ,366782 
21.Dec,분당선,338,매탄권선,137495 ,131399 
21.Dec,분당선,339,수원시청,358750 ,387600 
21.Dec,분당선,340,매교,80767 ,80884 
21.Dec,일산선,375,원흥,285906 ,269776 
21.Dec,일산선,376,지축,11 ,0 
21.Dec,일산선,377,삼송,521515 ,505974 
21.Dec,일산선,378,원당,299605 ,283078 
21.Dec,일산선,379,화정,459556 ,471798 
21.Dec,일산선,380,대곡,50756 ,40453 
21.Dec,일산선,381,백석,270063 ,270132 
21.Dec,일산선,382,마두,198849 ,204021 
21.Dec,일산선,383,정발산,203601 ,206245 
21.Dec,일산선,384,주엽,236676 ,235662 
21.Dec,일산선,385,대화,345942 ,283621 
21.Dec,중앙선,135,회기,666942 ,640649 
21.Dec,중앙선,152,중랑,152322 ,144204 
21.Dec,중앙선,153,상봉(시외버스터미널),160771 ,159176 
21.Dec,중앙선,154,망우,209944 ,208468 
21.Dec,중앙선,155,양원,55024 ,54520 
21.Dec,중앙선,156,구리,365492 ,370211 
21.Dec,중앙선,157,도농,280125 ,255318 
21.Dec,중앙선,158,양정,19042 ,16247 
21.Dec,중앙선,159,덕소,150900 ,149475 
21.Dec,중앙선,160,도심,62970 ,49793 
21.Dec,중앙선,161,팔당,25651 ,26665 
21.Dec,중앙선,162,운길산,19022 ,17638 
21.Dec,중앙선,163,양수,47494 ,48223 
21.Dec,중앙선,164,신원,5350 ,4718 
21.Dec,중앙선,165,국수,19077 ,18652 
21.Dec,중앙선,166,아신,14118 ,14217 
21.Dec,중앙선,167,오빈,7695 ,7695 
21.Dec,중앙선,168,양평,75938 ,77109 
21.Dec,중앙선,169,원덕,9116 ,8804 
21.Dec,중앙선,170,용문,49726 ,49909 
21.Dec,중앙선,171,지평,1659 ,1809 
21.Dec,장항선,224,봉명,30449 ,29171 
21.Dec,장항선,225,쌍용(나사렛대),57232 ,53202 
21.Dec,장항선,226,아산,90473 ,81818 
21.Dec,장항선,227,탕정,10559 ,9456 
21.Dec,장항선,228,배방,28246 ,27438 
21.Dec,장항선,229,온양온천,100098 ,103181 
21.Dec,장항선,230,신창(순천향대),43040 ,40396 
21.Dec,경의선,172,서울역,103552 ,129411 
21.Dec,경의선,173,신촌,20968 ,25669 
21.Dec,경의선,174,효창공원앞,77097 ,88448 
21.Dec,경의선,175,공덕,96432 ,84054 
21.Dec,경의선,176,서강대,57905 ,56422 
21.Dec,경의선,177,홍대입구,49497 ,58943 
21.Dec,경의선,178,가좌,141295 ,135560 
21.Dec,경의선,179,디지털미디어시티,66880 ,62455 
21.Dec,경의선,180,수색,69771 ,71997 
21.Dec,경의선,181,화전,49798 ,45211 
21.Dec,경의선,182,강매,83768 ,73254 
21.Dec,경의선,183,행신,210305 ,211254 
21.Dec,경의선,184,능곡,102039 ,94675 
21.Dec,경의선,185,곡산,15116 ,15769 
21.Dec,경의선,186,백마,181208 ,174143 
21.Dec,경의선,187,풍산,151561 ,142125 
21.Dec,경의선,188,일산,249482 ,246602 
21.Dec,경의선,189,탄현,207308 ,197830 
21.Dec,경의선,190,야당,198578 ,194203 
21.Dec,경의선,191,운정,188038 ,179252 
21.Dec,경의선,192,금릉,131704 ,127399 
21.Dec,경의선,193,금촌,176867 ,176556 
21.Dec,경의선,194,월롱,68248 ,63819 
21.Dec,경의선,195,파주,36106 ,24636 
21.Dec,경의선,196,문산,139396 ,138478 
21.Dec,경의선,197,임진강,536 ,496 
21.Dec,경의선,203,계양,8 ,0 
21.Dec,경의선,204,검암,2 ,0 
21.Dec,경춘선,205,신내,54287 ,51296 
21.Dec,경춘선,206,갈매,81473 ,70587 
21.Dec,경춘선,207,별내,90735 ,85412 
21.Dec,경춘선,208,퇴계원,96972 ,88689 
21.Dec,경춘선,209,사릉,89414 ,85828 
21.Dec,경춘선,210,금곡,40150 ,38333 
21.Dec,경춘선,211,평내호평,163587 ,159288 
21.Dec,경춘선,212,천마산,44800 ,41852 
21.Dec,경춘선,213,마석,103856 ,102521 
21.Dec,경춘선,214,대성리,12951 ,11716 
21.Dec,경춘선,215,청평,42146 ,41508 
21.Dec,경춘선,216,상천,6420 ,6038 
21.Dec,경춘선,217,가평,43131 ,43634 
21.Dec,경춘선,218,굴봉산,3532 ,3928 
21.Dec,경춘선,219,백양리,6239 ,5819 
21.Dec,경춘선,220,강촌,11735 ,11686 
21.Dec,경춘선,221,김유정,9082 ,9280 
21.Dec,경춘선,222,남춘천,68115 ,69225 
21.Dec,경춘선,223,춘천,37942 ,34225 
21.Dec,수인선,341,고색,119250 ,112969 
21.Dec,수인선,342,오목천,83490 ,76311 
21.Dec,수인선,343,어천,20564 ,19998 
21.Dec,수인선,344,야목,8671 ,6718 
21.Dec,수인선,345,사리,123210 ,107621 
21.Dec,수인선,346,달월,2624 ,1802 
21.Dec,수인선,347,월곶,71622 ,67507 
21.Dec,수인선,348,소래포구,141171 ,134410 
21.Dec,수인선,349,인천논현,149008 ,158365 
21.Dec,수인선,350,호구포,106775 ,109631 
21.Dec,수인선,351,남동인더스파크,56490 ,62330 
21.Dec,수인선,352,원인재,122192 ,126993 
21.Dec,수인선,353,연수,124996 ,124435 
21.Dec,수인선,354,송도,68150 ,64345 
21.Dec,수인선,355,인하대,160705 ,150229 
21.Dec,수인선,356,숭의,106354 ,99026 
21.Dec,수인선,357,신포,48566 ,49166 
21.Dec,수인선,358,인천,28668 ,45666 
21.Dec,경강선,239,판교,127056 ,125816 
21.Dec,경강선,240,이매,30384 ,25224 
21.Dec,경강선,241,삼동,62647 ,57828 
21.Dec,경강선,242,경기광주,203902 ,193625 
21.Dec,경강선,243,초월,84339 ,80523 
21.Dec,경강선,244,곤지암,62227 ,60811 
21.Dec,경강선,245,신둔도예촌,39070 ,36731 
21.Dec,경강선,246,이천,75208 ,78341 
21.Dec,경강선,247,부발,59850 ,55315 
21.Dec,경강선,248,세종대왕릉,8505 ,8365 
21.Dec,경강선,249,여주,60656 ,61230 
21.Dec,5호선,386,방화,180690 ,174984 
21.Dec,5호선,387,개화산,148343 ,141559 
21.Dec,5호선,388,김포공항,220215 ,208251 
21.Dec,5호선,389,송정,179387 ,169676 
21.Dec,5호선,390,마곡,274329 ,272514 
21.Dec,5호선,391,발산,533537 ,550449 
21.Dec,5호선,392,우장산,381038 ,376862 
21.Dec,5호선,393,화곡,763039 ,711434 
21.Dec,5호선,394,까치산,782881 ,753426 
21.Dec,5호선,395,신정(은행정),368548 ,301534 
21.Dec,5호선,396,목동,441239 ,475120 
21.Dec,5호선,397,오목교(목동운동장앞),588661 ,630663 
21.Dec,5호선,398,양평,194385 ,191997 
21.Dec,5호선,399,영등포구청,97790 ,101124 
21.Dec,5호선,400,영등포시장,271582 ,281057 
21.Dec,5호선,401,신길,108754 ,117559 
21.Dec,5호선,402,여의도,717377 ,744872 
21.Dec,5호선,403,여의나루,226495 ,257294 
21.Dec,5호선,404,마포,371488 ,381337 
21.Dec,5호선,405,공덕,355988 ,379200 
21.Dec,5호선,406,애오개,175750 ,176776 
21.Dec,5호선,407,충정로(경기대입구),121449 ,122753 
21.Dec,5호선,408,서대문,467532 ,472669 
21.Dec,5호선,409,광화문(세종문화회관),778061 ,807701 
21.Dec,5호선,410,종로3가,340817 ,338735 
21.Dec,5호선,411,을지로4가,154338 ,157291 
21.Dec,5호선,412,동대문역사문화공원(DDP),73000 ,85553 
21.Dec,5호선,413,청구,105584 ,97237 
21.Dec,5호선,414,신금호,171666 ,177834 
21.Dec,5호선,415,행당,215161 ,192500 
21.Dec,5호선,416,왕십리(성동구청),127457 ,145866 
21.Dec,5호선,417,마장,152933 ,144529 
21.Dec,5호선,418,답십리,428582 ,392401 
21.Dec,5호선,419,장한평,490947 ,488665 
21.Dec,5호선,420,군자(능동),306602 ,337015 
21.Dec,5호선,421,아차산(어린이대공원후문),400298 ,386376 
21.Dec,5호선,422,광나루(장신대),357309 ,331390 
21.Dec,5호선,423,천호(풍납토성),510197 ,502520 
21.Dec,5호선,424,강동,495546 ,471529 
21.Dec,5호선,425,길동,218620 ,229498 
21.Dec,5호선,426,굽은다리(강동구민회관앞),264743 ,254056 
21.Dec,5호선,427,명일,232336 ,240441 
21.Dec,5호선,428,고덕,255232 ,252586 
21.Dec,5호선,429,상일동,407997 ,374245 
21.Dec,5호선,430,둔촌동,232519 ,232911 
21.Dec,5호선,431,올림픽공원(한국체대),119763 ,107487 
21.Dec,5호선,432,방이,190582 ,196676 
21.Dec,5호선,433,오금,98741 ,97517 
21.Dec,5호선,434,개롱,172531 ,179989 
21.Dec,5호선,435,거여,246122 ,234853 
21.Dec,5호선,436,마천,184526 ,182565 
